verb,reviewReason,affectedFormCount,affectedForms,pdfRows,pdfSlots,corpusClassification,verbnetClassification,status,frameEvidence,verbnetClasses,reviewStatus
counsel,classification-gap; verbnet-unclassified,2,"counsel, counsels",193,"V1, V5",,uncertain,unclassified,,advise-37.9-1,pending
course,classification-gap; verbnet-unmatched,2,"course, courses",195,"V1, V5",,uncertain,unmatched,,,pending
cover,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),"contiguous_location-47.8, fill-9.8-1",pending
cower,classification-gap,2,"cower, cowers",197,"V1, V5",,intransitive,provisional,NP V (intransitive),"body_internal_states-40.6, flinch-40.5",pending
crave,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"long-32.2, want-32.1",pending
create,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.material (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.attribute (monotransitive),"create-26.4, engender-27.1",pending
crib,classification-gap; verbnet-unmatched,4,"crib, cribbed, cribbing, cribs",204,"V1, V2, V3, V4, V5",,uncertain,unmatched,,,pending
crowd,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,spray-9.7-1-1,pending
crush,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP ADJ PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive),"amuse-31.1, break-45.1, carve-21.2-1, subjugate-42.3",pending
cry,corpus-vs-verbnet-conflict,0,,,,intransitive,ambitransitive,conflict,NP V NP (monotransitive); NP V (intransitive); NP V NP PP.recipient (monotransitive),"breathe-40.1.2-1, manner_speaking-37.3, marvel-31.3, nonverbal_expression-40.2, sound_emission-43.2",pending
curb,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),subjugate-42.3,pending
cure,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive),free-10.6.3-1-1,pending
curve,classification-gap; verbnet-unclassified,2,"curve, curves",211,"V1, V5",,uncertain,unclassified,,knead-26.5,pending
cut,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP P.asset (monotransitive); NP V NP PP.co-patient (monotransitive); NP V NP apart (monotransitive),"amuse-31.1, braid-41.2.2, build-26.1-1, caused_calibratable_cos-45.6.2, cut-21.1-1, escape-51.1, hurt-40.8.3-2, meander-47.7, split-23.2, stop-55.4",pending
cycle,classification-gap,3,"cycle, cycled, cycles",213,"V1, V2, V3, V5",,monotransitive,provisional,NP V NP (monotransitive),vehicle-51.4.1-1,pending
damage,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),destroy-44,pending
damp,classification-gap; verbnet-unmatched,1,damps,215,V5,ambitransitive,uncertain,unmatched,,,pending
dance,corpus-vs-verbnet-conflict,0,,,,intransitive,ambitransitive,conflict,NP V (intransitive); NP V NP PP.trajectory (monotransitive); NP V NP ADJP (monotransitive); NP V NP PP.goal (monotransitive),"modes_of_being_with_motion-47.3, performance-26.7-1, waltz-51.5",pending
dare,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP S_ING (monotransitive),urge-58.1-1,pending
dash,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP together (monotransitive); NP V NP ADJP (monotransitive); NP V NP ADJP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP PP (monotransitive); NP V NP ADJP PP.result (monotransitive); NP V NP PP.trajectory (monotransitive); NP V NP PP.location (monotransitive); NP V NP PP.source PP.destination PP.trajectory (monotransitive),"hit-18.1, run-51.3.2-2",pending
dazzle,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
deal,corpus-vs-verbnet-conflict,0,,,,intransitive,ditransitive,conflict,NP V NP PP.recipient (monotransitive); NP V NP-Dative NP (ditransitive); NP V NP (monotransitive),"cope-83, give-13.1",pending
decay,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,entity_specific_cos-45.5,pending
decide,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,correspond-36.1-1,pending
declare,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),"declare-29.4-1-1-1, reflexive_appearance-48.1.2, say-37.7-1-1",pending
decorate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive); NP V NP (monotransitive),"fill-9.8-1, illustrate-25.3",pending
decrease,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,caused_calibratable_cos-45.6.2-1,pending
dedicate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP S_ING (monotransitive); NP V NP PP.goal (monotransitive),dedicate-79,pending
delay,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),delay-53.3-1-1,pending
delete,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP (monotransitive),remove-10.1,pending
deny,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP to be NP (monotransitive),conjecture-29.5,pending
depend,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,rely-70,pending
describe,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,characterize-29.2-1-1,pending
desire,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S_INF (monotransitive); NP V NP to be ADJ (monotransitive),"want-32.1, want-32.1-1-1",pending
destroy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),destroy-44,pending
detach,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.co-patient (monotransitive),disassemble-23.3,pending
detect,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,see-30.1-1,pending
determine,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP to be NP (monotransitive); NP V NP (monotransitive),"conjecture-29.5, discover-84",pending
develop,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive),"appear-48.1.1, build-26.1, grow-26.2.1, occur-48.3-1",pending
digest,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
dim,classification-gap,1,dim,244,V1,,monotransitive,provisional,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
diminish,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,caused_calibratable_cos-45.6.2-1,pending
disappear,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,disappearance-48.2-1,pending
discover,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),"discover-84-1, encounter-30.5",pending
discuss,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.co-agent (monotransitive),chit_chat-37.6-1,pending
disobey,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
display,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive),reflexive_appearance-48.1.2,pending
dispose,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP PP.Theme (monotransitive); NP V NP S_ING (monotransitive),addict-96,pending
distribute,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.recipient (monotransitive),contribute-13.2-1,pending
disturb,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
disuse,classification-gap; verbnet-unmatched,3,"disuse, disuses, disusing",257,"V1, V4, V5",,uncertain,unmatched,,,pending
dive,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive),"calibratable_cos-45.6.1-1, meander-47.7, search-35.2",pending
divide,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.co-theme (monotransitive); NP V NP PP.instrument (monotransitive),"multiply-108-1, other_cos-45.4, separate-23.1-1",pending
do,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),act-114-1,pending
donate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),contribute-13.2-1-1,pending
download,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
drag,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive); NP V NP PP.theme (monotransitive),"carry-11.4, search-35.2",pending
dream,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP to be ADJ (monotransitive); NP V NP ADJ (monotransitive),"cognize-85, wish-62",pending
dress,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),dress-41.1.1-1-1,pending
drill,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),carve-21.2-3,pending
drink,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,eat-39.1-1,pending
drive,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP S_INF (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive); NP V NP ADVP (monotransitive); NP V NP ADJP (monotransitive); NP V NP PP.destinations (monotransitive),"compel-59.1-1, drive-11.5, nonvehicle-51.4.2-1, put_direction-9.4, render-29.90, send-11.1, throw-17.1",pending
dry,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP ADJ (monotransitive),other_cos-45.4-1,pending
dump,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,funnel-9.3-1-1,pending
dye,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJP (monotransitive); NP V NP PP.result (monotransitive),"braid-41.2.2, coloring-24",pending
earn,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive),"earn-54.6, get-13.5.1-1",pending
eat,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,eat-39.1-1,pending
educate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.topic (monotransitive); NP V NP how S_INF (monotransitive); NP V NP S-Quote (monotransitive),advise-37.9,pending
empower,classification-gap; verbnet-unmatched,1,empowers,278,V5,ambitransitive,uncertain,unmatched,,,pending
empty,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source PP.destination (monotransitive); NP V NP PP.instrument (monotransitive),"clear-10.3-1, other_cos-45.4",pending
encircle,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),"contiguous_location-47.8, fill-9.8",pending
encourage,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.topic (monotransitive); NP V NP how S_INF (monotransitive); NP V NP S-Quote (monotransitive); NP V NP ADJ (monotransitive); NP V NP that S (monotransitive),"accept-77.1, advise-37.9, amuse-31.1, promote-102, urge-58.1-1-1",pending
encroach,verbnet-unmatched,0,,,,intransitive,uncertain,unmatched,,,pending
endanger,verbnet-unmatched,0,,,,monotransitive,uncertain,unmatched,,,pending
endorse,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive),"allow-64.1, illustrate-25.3",pending
endure,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),exist-47.1-1,pending
engrave,corpus-vs-verbnet-conflict,0,,,,ambitransitive,intransitive,conflict,NP V (intransitive),image_impression-25.1,pending
enjoy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive); NP V NP ADJ (monotransitive); NP V NP ADV (monotransitive),"admire-31.2, want-32.1-1",pending
enlarge,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
enlighten,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive),amuse-31.1,pending
enter,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),escape-51.1-1-2,pending
envy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive),admire-31.2,pending
erase,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,wipe_manner-10.4.1-1,pending
escape,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),escape-51.1-1-1,pending
evaporate,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
exchange,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.co-theme (monotransitive); NP V NP (monotransitive); NP V NP PP.co-agent (monotransitive),exchange-13.6.1,pending
exclaim,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP PP.recipient (monotransitive),say-37.7-1,pending
exclude,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.goal S_ING (monotransitive); NP V NP (monotransitive),"exclude-107.3-1, forbid-64.4-1",pending
expand,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive),other_cos-45.4,pending
expect,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP to be ADJ (monotransitive); NP V NP ADJ (monotransitive),"conjecture-29.5-1, wish-62",pending
explore,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,investigate-35.4,pending
express,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP-Dative NP (ditransitive),"reflexive_appearance-48.1.2, send-11.1-1",pending
eye,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP (monotransitive),sight-30.2,pending
face,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP PP.theme (monotransitive),"confront-98, fill-9.8-1",pending
fail,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,"neglect-75.1-1, succeed-74-3-1-1",pending
faint,classification-gap,1,faint,308,V1,,intransitive,provisional,NP V (intransitive),change_bodily_state-40.8.4,pending
fan,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
fancy,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP S_ING (monotransitive); NP V NP to be ADJ (monotransitive),"admire-31.2, characterize-29.2, want-32.1",pending
favour,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
fax,classification-gap,4,"fax, faxed, faxes, faxing",313,"V1, V2, V3, V4, V5",,ditransitive,provisional,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP-Dative NP (ditransitive); NP V NP PP.topic (monotransitive),instr_communication-37.4.1,pending
feed,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP-Dative NP (ditransitive); NP V NP PP.location (monotransitive),"feeding-39.7, fit-54.3, gorge-39.6",pending
ferry,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive); NP V NP PP.location (monotransitive); NP V NP ADJ (monotransitive); NP V NP PP.result (monotransitive),"drive-11.5-1, vehicle-51.4.1",pending
fetch,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive),"earn-54.6, get-13.5.1-1",pending
fill,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.theme (monotransitive); NP V NP PP.instrument (monotransitive),"contiguous_location-47.8, fill-9.8, other_cos-45.4",pending
find,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.asset (monotransitive); NP V NP PP.source NP.asset (monotransitive),"declare-29.4-1-1, discover-84, encounter-30.5, get-13.5.1",pending
finish,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,stop-55.4-1-1,pending
fish,corpus-vs-verbnet-conflict,0,,,,intransitive,ambitransitive,conflict,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.theme (monotransitive); NP V NP PP.location (monotransitive),"berry-13.7, hunt-35.1",pending
fit,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP (monotransitive); NP V NP S_ING (monotransitive); NP V NP PP.location (monotransitive); NP V NP PP.destination (monotransitive),"adjust-26.9, fit-54.3, funnel-9.3-1",pending
fix,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.value (monotransitive); NP V NP PP (monotransitive); NP V NP together (monotransitive),"preparing-26.3-1, price-54.4, shake-22.3-2",pending
fizz,classification-gap,4,"fizz, fizzed, fizzes, fizzing",325,"V1, V2, V3, V4, V5",,intransitive,provisional,NP V (intransitive),"entity_specific_modes_being-47.2, sound_emission-43.2",pending
flap,classification-gap,1,flaps,326,V5,ambitransitive,ambitransitive,provisional,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive),"body_internal_motion-49.1, crane-40.3.2, modes_of_being_with_motion-47.3",pending
flee,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP (monotransitive),escape-51.1-1-1,pending
fling,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP-Dative NP (ditransitive),throw-17.1-1,pending
fly,corpus-vs-verbnet-conflict,0,,,,intransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.initial_location (monotransitive); NP V NP PP.destination (monotransitive); NP V NP PP.initial_location PP.destination (monotransitive); NP V NP PP.destination PP.initial_location (monotransitive); NP V NP ADVP (monotransitive),"drive-11.5-1, nonvehicle-51.4.2-1, put_spatial-9.2, run-51.3.2-2-1, spatial_configuration-47.6-1",pending
fold,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP PP.instrument (monotransitive); NP V NP ADJ (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive),"bend-45.2, build-26.1, crane-40.3.2, knead-26.5",pending
follow,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.value (monotransitive); NP V NP PP.location (monotransitive); NP V NP to be NP (monotransitive),"abide_by-93.2, assessment-34.1, chase-51.6, comprehend-87.2-1, contiguous_location-47.8, occur-48.3-1",pending
forbid,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),forbid-64.4-1,pending
force,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP S_ING (monotransitive),urge-58.1-1,pending
forecast,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
foretell,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive),conjecture-29.5-1,pending
forget,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
forgive,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive),judgment-33.1-1,pending
forlese,classification-gap; verbnet-unmatched,3,"forlese, forlesing, forlore",341,"V1, V2, V4, V5",,uncertain,unmatched,,,pending
form,corpus-vs-verbnet-conflict,0,,,,monotransitive,ambitransitive,conflict,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.material (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.attribute (monotransitive); NP V NP PP.recipient (monotransitive),"appear-48.1.1, comprise-107.2-1, create-26.4, reflexive_appearance-48.1.2",pending
forsake,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
found,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source (monotransitive); NP V NP PP.source whether S (monotransitive); NP V NP PP.source S_ING (monotransitive); NP V NP PP.source S (monotransitive); NP V NP PP.instrument (monotransitive),"base-97.1, establish-55.5-1",pending
frame,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive); NP V NP (monotransitive),"butter-9.9, contiguous_location-47.8, fill-9.8-1",pending
free,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP S_ING (monotransitive),free-10.6.3-1,pending
freeze,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP ADJ (monotransitive),"other_cos-45.4-1, weather-57",pending
frighten,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP S_ING (monotransitive); NP V NP PP.result (monotransitive),"amuse-31.1, bully-59.5",pending
fry,classification-gap; corpus-vs-verbnet-conflict,1,fries,349,V5,ambitransitive,monotransitive,conflict,NP V NP PP.instrument (monotransitive); NP V NP PP.result (monotransitive); NP V NP PP.result PP.instrument (monotransitive); NP V NP (monotransitive); NP V NP ADJ (monotransitive); NP V NP PP.beneficiary (monotransitive),"cooking-45.3, poison-42.2, preparing-26.3-2",pending
fulfil,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
gag,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.theme (monotransitive); NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),"butter-9.9, subjugate-42.3",pending
gain,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.source (monotransitive),"calibratable_cos-45.6.1-1, get-13.5.1-1",pending
gainsay,verbnet-unmatched,0,,,,ambitransitive,uncertain,unmatched,,,pending
gash,classification-gap,3,"gash, gashes, gashing",354,"V1, V4, V5",,monotransitive,provisional,NP V NP (monotransitive); NP V NP PP.instrument (monotransitive),carve-21.2-1,pending
gaze,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,peer-30.3,pending
get,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP to be NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP S-INF (monotransitive),"become-109.1, birth-28.2-1, comprehend-87.2-1, convert-26.6.2, escape-51.1, get-13.5.1-1, initiate_communication-37.4.2, render-29.90-2",pending
glance,verbnet-unclassified,0,,,,intransitive,uncertain,unclassified,,peer-30.3,pending
glow,classification-gap,1,glow,360,V1,,intransitive,provisional,NP V (intransitive),light_emission-43.1,pending
google,classification-gap; verbnet-unmatched,4,"google, googled, googles, googling",362,"V1, V2, V3, V4, V5",,uncertain,unmatched,,,pending
govern,verbnet-unclassified,0,,,,ambitransitive,uncertain,unclassified,,supervision-95.2.2,pending
grab,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.source (monotransitive); NP V NP NP (ditransitive),"hold-15.1-1, obtain-13.5.2, steal-10.5-1",pending
grade,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP (monotransitive); NP V NP PP.goal (monotransitive); NP V NP PP.instrument (monotransitive),"classify-29.10, remedy-45.7",pending
grant,corpus-vs-verbnet-conflict,0,,,,ditransitive,monotransitive,conflict,NP V NP PP.goal (monotransitive),future_having-13.3,pending
greet,corpus-vs-verbnet-conflict,0,,,,ambitransitive,monotransitive,conflict,NP V NP PP.attribute (monotransitive),judgment-33.1-1,pending
grind,corpus-vs-verbnet-conflict,0,,,,ambitransitive,ditransitive,conflict,NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.instrument (monotransitive); NP V NP PP.recipient (monotransitive); NP V NP PP.recipient PP.theme (monotransitive),"build-26.1, carve-21.2-1, crane-40.3.2",pending
grip,classification-gap,1,grip,369,V1,,monotransitive,provisional,NP V NP (monotransitive); NP V NP PP.theme PP.instrument (monotransitive),"hold-15.1-1, touch-20-1",pending
grow,corpus-vs-verbnet-conflict,0,,,,intransitive,ditransitive,conflict,NP V (intransitive); NP V NP (monotransitive); NP V NP PP.beneficiary (monotransitive); NP V NP PP.material PP.beneficiary (monotransitive); NP V NP PP.product PP.beneficiary (monotransitive); NP V NP NP PP.asset (ditransitive); NP V NP PP.material PP.asset (monotransitive); NP V NP PP.instrument (monotransitive),"appear-48.1.1, become-109.1-1, build-26.1, calibratable_cos-45.6.1-1, grow-26.2.1, other_cos-45.4, rear-26.2.2",pending
